,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,Bolivar,37.61,-93.41,46.99,87,90,5.82,1584389109
1,Nikolskoye,59.7,30.79,33.8,100,90,4.47,1584389233
2,Champerico,14.3,-91.92,91.4,52,40,9.17,1584389234
3,Avarua,-21.21,-159.78,84.2,79,100,12.75,1584389065
4,Hilo,19.73,-155.09,75.99,73,1,5.82,1584389234
5,Kibaya,-5.3,36.57,63.77,95,100,3.36,1584389026
6,Saint Paul Harbor,57.79,-152.41,33.8,80,1,3.36,1584389234
7,Tasiilaq,65.61,-37.64,12.2,78,100,2.24,1584389234
8,Mataura,-46.19,168.86,45.0,91,75,1.99,1584389235
9,Sungai Penuh,-2.08,101.38,62.33,98,100,2.06,1584389235
10,San Jerónimo,-11.95,-75.28,54.59,63,60,3.74,1584389235
11,Albany,42.6,-73.97,45.0,20,90,9.17,1584389178
12,Punta Arenas,-53.15,-70.92,55.4,58,75,28.86,1584389235
13,Ponta do Sol,32.67,-17.1,59.0,67,75,17.22,1584389235
14,Busselton,-33.65,115.33,64.0,69,10,11.32,1584389043
15,Bathsheba,13.22,-59.52,84.2,58,40,13.87,1584389236
16,Dikson,73.51,80.55,-2.29,90,100,27.78,1584389236
17,Ilo,-17.64,-71.34,77.0,83,75,10.29,1584389236
18,Port Elizabeth,-33.92,25.57,66.2,77,64,17.22,1584389236
19,Butaritari,3.07,172.79,83.57,76,65,13.4,1584389237
20,Westport,41.14,-73.36,45.0,56,40,16.11,1584389237
21,Carnarvon,-24.87,113.63,75.2,78,34,12.75,1584389237
22,Kamaishi,39.27,141.88,28.67,68,0,3.33,1584389237
23,Sibolga,1.74,98.78,70.79,94,47,3.65,1584389226
24,Hobart,-42.88,147.33,53.6,76,100,11.41,1584389237
25,Road Town,18.42,-64.62,82.4,69,40,10.29,1584389237
26,Rikitea,-23.12,-134.97,80.69,78,50,13.49,1584389220
27,Faanui,-16.48,-151.75,82.85,73,17,8.68,1584389238
28,Esperance,-33.87,121.9,64.4,88,40,6.93,1584389238
29,Nemuro,43.32,145.57,28.49,56,44,11.41,1584388991
30,Ambon City,-3.7,128.18,81.05,79,0,7.27,1584389238
31,Guamúchil,25.47,-108.1,97.25,12,100,2.86,1584389238
32,Provideniya,64.38,-173.3,23.0,92,90,4.47,1584389239
33,Ushuaia,-54.8,-68.3,55.4,62,40,26.4,1584389224
34,Lompoc,34.64,-120.46,52.0,87,90,9.17,1584389239
35,Bethel,41.37,-73.41,46.0,56,40,16.11,1584389239
36,Madang,-5.22,145.8,80.69,76,100,8.77,1584389239
37,Nanortalik,60.14,-45.24,19.31,56,0,40.18,1584389106
38,Evensk,61.95,159.23,28.85,94,100,9.13,1584389240
39,Chardara,41.25,67.97,64.67,40,80,3.42,1584389240
40,Kemin,42.78,75.69,43.97,30,90,4.92,1584389112
41,Cape Town,-33.93,18.42,71.6,53,0,6.93,1584389240
42,Hermanus,-34.42,19.23,71.01,72,57,13.0,1584389240
43,Tessalit,20.2,1.01,80.33,12,77,6.33,1584389240
44,Tamale,9.4,-0.84,97.43,22,67,6.11,1584389241
45,Hasaki,35.73,140.83,30.2,74,20,3.36,1584389170
46,Royan,45.63,-1.03,53.6,100,90,6.93,1584389241
47,Laas,46.62,10.7,48.2,74,24,2.24,1584389241
48,Bluff,-46.6,168.33,45.0,91,99,1.99,1584389241
49,Bredasdorp,-34.53,20.04,66.0,68,56,19.46,1584389242
50,Lata,40.16,-8.33,55.0,66,20,23.04,1584389242
51,Kotri,25.37,68.31,69.89,26,28,3.09,1584389242
52,Atuona,-9.8,-139.03,82.13,68,14,8.99,1584389243
53,Barrow,71.29,-156.79,10.4,85,90,12.75,1584389243
54,Birjand,32.87,59.22,48.2,76,0,6.93,1584389030
55,Tiznit Province,29.58,-9.5,52.07,84,94,5.88,1584389108
56,Ukiah,39.15,-123.21,54.0,61,1,4.41,1584389243
57,Alekseyevskaya,50.29,42.18,28.0,80,0,5.57,1584389244
58,Kostomuksha,64.57,30.58,22.19,82,0,12.5,1584389245
59,Castro,-24.79,-50.01,76.19,70,3,1.45,1584389004
60,Saskylakh,71.92,114.08,-24.43,91,100,14.29,1584389246
61,Sitka,57.05,-135.33,37.4,86,90,3.36,1584389246
62,Souillac,-20.52,57.52,77.0,94,90,3.36,1584389246
63,Severo-Kuril'sk,50.68,156.12,17.87,90,94,1.83,1584389160
64,Khatanga,71.97,102.5,-30.01,97,16,7.81,1584389247
65,Ribeira Grande,38.52,-28.7,62.6,82,40,10.29,1584389247
66,Jamestown,42.1,-79.24,50.0,36,20,13.87,1584389193
67,Yellowknife,62.46,-114.35,-5.01,48,5,8.05,1584389247
68,Abalak,58.13,68.59,21.47,92,80,6.89,1584389247
69,Dunedin,-45.87,170.5,53.01,63,95,4.0,1584389154
70,Moose Factory,51.26,-80.61,30.2,68,90,20.8,1584389248
71,Radomsko,51.07,19.44,46.0,66,20,55.99,1584389158
72,Torbay,47.67,-52.73,26.01,62,20,9.17,1584389248
73,Lagoa,39.05,-27.98,62.69,81,0,13.22,1584389248
74,Ternate,0.8,127.4,71.87,94,45,3.53,1584389248
75,Viedma,-40.81,-63.0,82.49,20,76,16.02,1584389025
76,Matata,-37.88,176.75,64.99,55,100,5.01,1584389249
77,Mar del Plata,-38.0,-57.56,68.0,68,0,12.75,1584389249
78,Isangel,-19.55,169.27,80.15,82,64,10.51,1584389249
79,Hithadhoo,-0.6,73.08,83.57,71,46,9.33,1584389249
80,Port Alfred,-33.59,26.89,66.0,83,36,5.01,1584389249
81,Saint-Pierre,-21.34,55.48,75.2,88,20,5.82,1584389250
82,Arraial do Cabo,-22.97,-42.03,89.6,62,20,20.8,1584389250
83,Ilulissat,69.22,-51.1,-2.2,49,20,2.24,1584389164
84,Lázaro Cárdenas,17.96,-102.2,86.45,49,0,10.18,1584389250
85,Lamar,33.67,-95.58,54.0,100,90,9.17,1584389102
86,Tiksi,71.69,128.87,-0.49,96,100,4.92,1584389250
87,Talara,-4.58,-81.27,62.6,100,41,11.41,1584389250
88,Narodychi,51.2,29.08,35.87,53,100,12.26,1584389251
89,Basoko,1.24,23.62,71.51,93,39,4.25,1584389053
90,Sola,-13.88,167.55,85.55,74,100,18.43,1584389251
91,Banda Aceh,5.56,95.32,75.11,93,100,4.29,1584389251
92,Pontal do Paraná,-25.65,-48.51,87.8,43,75,8.05,1584389251
93,Longyearbyen,78.22,15.64,-14.8,62,20,11.41,1584389252
94,Beyneu,45.32,55.2,38.03,95,100,17.81,1584389252
95,Sechura,-5.56,-80.82,76.55,79,100,11.3,1584389252
96,Okhotsk,59.38,143.3,-5.89,66,0,12.68,1584389252
97,Bambanglipuro,-7.95,110.28,74.57,92,100,1.41,1584389113
98,Saint-Louis,16.33,-15.0,80.87,12,1,11.32,1584389252
99,Vaini,-21.2,-175.2,82.4,88,75,12.75,1584389253
100,Mahébourg,-20.41,57.7,77.0,94,90,3.36,1584389253
101,Opochka,56.71,28.66,34.25,97,100,6.82,1584389253
102,Shache,38.42,77.24,45.95,23,10,4.27,1584389253
103,Hong Kong,22.29,114.16,69.01,82,20,17.22,1584389131
104,Touros,-5.2,-35.46,86.0,70,75,14.99,1584389253
105,Codrington,-38.27,141.97,63.23,62,1,14.07,1584389254
106,Husavik,66.04,-17.34,32.0,77,66,17.22,1584389254
107,Turaif,31.67,38.66,57.2,82,0,4.7,1584389254
108,Wukari,7.85,9.78,81.95,10,19,2.8,1584389254
109,Pevek,69.7,170.31,22.37,81,100,24.74,1584389254
110,Yerofey Pavlovich,53.97,121.97,15.35,89,67,4.07,1584389254
111,Saint-Philippe,-21.36,55.77,75.2,88,20,5.82,1584389254
112,Marsh Harbour,26.54,-77.06,74.21,73,37,10.49,1584389255
113,Cidreira,-30.18,-50.21,72.95,82,100,12.08,1584389255
114,Kapaa,22.08,-159.32,73.4,88,75,20.8,1584389255
115,Tabuk,17.42,121.44,66.83,87,95,4.45,1584389255
